Дата и время;Артикул;Товар;Показатель;Было, ₽;Стало, ₽;Снижение, ₽
06.09.2026 05:46:40;3754358030;SHOCKS! Кокосовые батончики без сахара Ассорти 12 шт по 35 гр;Цена;609;601;8
06.09.2026 05:46:40;3754358030;SHOCKS! Кокосовые батончики без сахара Ассорти 12 шт по 35 гр;Цена по карте;553;545;8
06.09.2026 06:51:09;643726547;Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;Цена;2401;2381;20
06.09.2026 06:51:09;643726547;Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;Цена по карте;2161;2143;18
06.09.2026 07:03:42;643726547;Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;Цена;2381;2355;26
06.09.2026 07:03:42;643726547;Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;Цена по карте;2143;2119;24
06.09.2026 07:56:05;1864421694;Шампура для мангала с деревянной ручкой, подарочный шашлычный набор для мужчины на день рождения, подарок папе;Цена;2617;2439;178
06.09.2026 07:56:05;1864421694;Шампура для мангала с деревянной ручкой, подарочный шашлычный набор для мужчины на день рождения, подарок папе;Цена по карте;2355;2073;282
06.09.2026 08:36:57;3754358030;SHOCKS! Кокосовые батончики без сахара Ассорти 12 шт по 35 гр;Цена;609;601;8
06.09.2026 08:36:57;3754358030;SHOCKS! Кокосовые батончики без сахара Ассорти 12 шт по 35 гр;Цена по карте;553;545;8
06.09.2026 09:27:30;1864421694;Шампура для мангала с деревянной ручкой, подарочный шашлычный набор для мужчины на день рождения, подарок папе;Цена;2617;2439;178
06.09.2026 09:27:30;1864421694;Шампура для мангала с деревянной ручкой, подарочный шашлычный набор для мужчины на день рождения, подарок папе;Цена по карте;2355;2073;282
06.09.2026 09:53:05;3754358030;SHOCKS! Кокосовые батончики без сахара Ассорти 12 шт по 35 гр;Цена;609;601;8
06.09.2026 09:53:05;3754358030;SHOCKS! Кокосовые батончики без сахара Ассорти 12 шт по 35 гр;Цена по карте;553;545;8
06.09.2026 10:18:02;643726547;Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;Цена;2359;2355;4
06.09.2026 10:18:02;643726547;Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;Цена по карте;2123;2119;4
06.09.2026 10:30:15;643726547;Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;Цена;2381;2355;26
06.09.2026 10:30:15;643726547;Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;Цена по карте;2143;2119;24
06.09.2026 10:35:57;4550105884;"Гель для душа парфюмированный tobacco &amp; wood 1000 мл";Цена;811;810;1
06.09.2026 10:35:57;4550105884;"Гель для душа парфюмированный tobacco &amp; wood 1000 мл";Цена по карте;740;739;1
06.09.2026 10:38:31;1299979669;Комплект трусов боксеры Calvin Klein Jeans Underwear Collection, 5 шт;Цена;1151;1150;1
06.09.2026 10:38:49;3754358030;SHOCKS! Кокосовые батончики без сахара Ассорти 12 шт по 35 гр;Цена;601;598;3
06.09.2026 10:38:49;3754358030;SHOCKS! Кокосовые батончики без сахара Ассорти 12 шт по 35 гр;Цена по карте;545;539;6
06.09.2026 10:39:27;1844541881;Скакалка для фитнеса взрослая / спортивная;Цена;184;183;1
06.09.2026 10:39:45;4138099019;духи мужские туалетная вода мужская стойкие 10 мл Подарочная упаковка;Цена;119;106;13
06.09.2026 10:39:45;4138099019;духи мужские туалетная вода мужская стойкие 10 мл Подарочная упаковка;Цена по карте;108;96;12
06.09.2026 10:40:04;4550105884;"Гель для душа парфюмированный tobacco &amp; wood 1000 мл";Цена;810;807;3
06.09.2026 10:40:04;4550105884;"Гель для душа парфюмированный tobacco &amp; wood 1000 мл";Цена по карте;739;736;3
